NOME DO PRODUTO;REFERENCIA_QUANTIDADE DE FOTOS DESSA REFERENCIA;DETALHES;VALOR;DETALHE 2; 
CATEGORIA;5POCKETS_MALE;;;LIOCEL; 
CATEGORIA;JOGGJEANS_MALE;;;; 
THOMMER CB-NE;00S8MK069MM-731_4;COLOR CODE;R$ 1.695,00;; 
THOMMER CBB-NE;00SKS60687Z-02_2;BLACK JEANS;R$ 1.495,00;; 
D-REEFT-NE;00SY8V069MD-01_4;COLOR CODE;R$ 1.495,00;; 
KROOLEY CB-NE;00SU3F0687Z-02_2;BLACK JEANS;R$ 1.595,00;LIOCEL; 
KROOLEY CB-NE;00SU3FCN051-01_2;;R$ 1.455,00;LIOCEL; 
KROOLEY-X-NE;00S2HX069LT-01_5;COLOR CODE;R$ 1.495,00;LIOCEL; 
KROOLEY-X-NE;00S2HX069MA-01_5;COLOR CODE;R$ 1.495,00;; 
KROOLEY-X-NE;00S2HX069MG-01_5;COLOR CODE;R$ 1.355,00;LIOCEL; 
KROOLEY-X-T;00S2IK0099Q-01_3;;R$ 1.695,00;MIX MATERIALS; 
D-VIDER CB-NE;00SY8W069LW-01_3;COLOR CODE ;R$ 1.695,00;MIX MATERIALS; 
D-LUHIC-SP2-NE;00SI6M069LZ-100_3;HERITAGE - PART CLUBBING , EFEITO MARMORIZADO APLICADO À PEÇA ;R$ 1.995,00;; 
D-JEI-SP2-NE;00SI8X069LZ-100_5;HERITAGE - PART CLUBBING , EFEITO MARMORIZADO APLICADO À PEÇA ;R$ 2.995,00;LIOCEL; 
D-GYACK-NE;00SKRF069MV-02_1;;R$ 2.795,00;LIOCEL; 
D-KROOSHORT-NE;00STMV069MA-01_2;COLOR CODE;R$ 1.295,00;LIOCEL; 
D-KROOSHORT-NE;00STMV069MG-01_2;COLOR CODE;R$ 1.295,00;; 
D-WILLOH CB-NE;00SZTS069MD-01_2;COLOR CODE;R$ 1.295,00;MODAL; 
CATEGORIA;DENIM_MALE;;;; 
D-ISTORT L.32;00SMZS009BG-01_3;;R$ 995,00;; 
SLEENKER-X L.32;00SWJF0095F-01_3;;R$ 795,00;; 
SLEENKER-X L.32;00SWJF0095G-01_3;;R$ 855,00;; 
SLEENKER-X L.32;00SWJF009AF-01_3;;R$ 1.695,00;; 
SLEENKER-X L.32;00SWJF069LI-01_3;;R$ 1.095,00;; 
SLEENKER-X L.32;00SWJFCN053-01_2;;R$ 855,00;; 
SLEENKER-X L.32;00SWJFCN057-01_2;;R$ 1.195,00;; 
D-AMNY-X L.32;00SDUF069LH-01_3;;R$ 995,00;; 
THOMEER-X L.32;00SB6D0095M-01_4;;R$ 895,00;; 
THOMEER-X L.32;00SB6D0095R-01_3;;R$ 1.095,00;; 
THOMEER-X L.32;00SB6D0095R-02_3;;R$ 1.095,00;; 
THOMEER-X L.32;00SB6D0095Z-01_3;;R$ 795,00;LIOCEL; 
THOMEER-X L.32;00SB6D0096C-01_3;;R$ 995,00;; 
THOMEER-X L.32;00SB6D009BQ-01_4;COLOR INSIDE;R$ 1.195,00;LIOCEL; 
THOMMER-C L.32;00SXY5CN035-01_2; ;R$ 795,00;; 
TEPPHAR-X L.32;00SWID009BL-01_4;COLOR INSIDE;R$ 1.695,00;FIX FABRIC - 100% ALGODÃO; 
TEPPHAR-X L.32;00SWID009BU-01_3;;R$ 1.095,00;FIX FABRIC - 100% ALGODÃO; 
D-VIDER;00SSQ30097B-01_2;;R$ 1.095,00;; 
